id;institución;nombre;categoria;descripcion;enlace
2824;Ministerio de Agricultura, Ganadería y Alimentación -MAGA-;115. Permiso fitosanitario de importación;Economía;Permiso Fitosanitario de Importación;https://apps.maga.gob.gt/simplificacion/Formularios?tipoId=1
2825;Ministerio de Agricultura, Ganadería y Alimentación -MAGA-;99. Etiquetas para certificar semilla;Manejo de Animales y Vegetales;Solicitud de etiquetas para certificar semilla;https://apps.maga.gob.gt/simplificacion/Formularios?tipoId=1
2826;Ministerio de Agricultura, Ganadería y Alimentación -MAGA-;180. Gestión de constancia para la importación de productos y subproductos de origen vegetal procesados que no representen riesgo fitosanitario;Economía;Gestión de constancia para la importación de productos y subproductos de origen vegetal procesados que no representen riesgo fitosanitario;https://apps.maga.gob.gt/simplificacion/Formularios?tipoId=1
2827;Ministerio de Agricultura, Ganadería y Alimentación -MAGA-;100. Licencia de registro de planta acondicionadora y almacenamiento de semilla certificada;Manejo de Animales y Vegetales;Licencia de registro de planta acondicionadora y almacenamiento de semilla certificada;https://apps.maga.gob.gt/simplificacion/Formularios?tipoId=1
2829;Ministerio de Agricultura, Ganadería y Alimentación -MAGA-;168. Registro de Productos Formulados (Carta de Acceso);Medio Ambiente;Registro de Productos Formulados (Carta de Acceso);https://apps.maga.gob.gt/simplificacion/Formularios?tipoId=1
2830;Ministerio de Agricultura, Ganadería y Alimentación -MAGA-;101. Pruebas de Análisis de Laboratorio de Calidad de Semilla;Manejo de Animales y Vegetales;Pruebas de Análisis de Laboratorio de Calidad de Semilla;https://apps.maga.gob.gt/simplificacion/Formularios?tipoId=1
2831;Ministerio de Agricultura, Ganadería y Alimentación -MAGA-;181. Registro o Renovación de Personas Individuales o Jurídicas que se dedican al Tratamiento de Embalaje de Madera Utilizado en Comercio Internacional;Economía;Registro o Renovación de Personas Individuales o Jurídicas que se dedican al Tratamiento de Embalaje de Madera Utilizado en Comercio Internacional;https://apps.maga.gob.gt/simplificacion/Formularios?tipoId=1
2832;Ministerio de Agricultura, Ganadería y Alimentación -MAGA-;102. Certificado registro de unidades de producción de semilla certificada;Manejo de Animales y Vegetales;Certificado registro de unidades de producción de semilla certificada;https://apps.maga.gob.gt/simplificacion/Formularios?tipoId=1
2833;Ministerio de Agricultura, Ganadería y Alimentación -MAGA-;177. Registro o Renovación de Personas Individuales o Jurídicas que se dediquen a la extracción, manejo y transporte de desechos sólidos inorgánicos, provenientes de los buques.;Medio Ambiente;Registro o Renovación de Personas Individuales o Jurídicas que se dediquen a la extracción, manejo y transporte de desechos sólidos inorgánicos, provenientes de los buques.;https://apps.maga.gob.gt/simplificacion/Formularios?tipoId=1
2834;Ministerio de Agricultura, Ganadería y Alimentación -MAGA-;103. Certificado de Autorización de Uso de Productos Obtenidos por Biotecnología de Precisión para Uso Agrícola;Manejo de Animales y Vegetales;Certificado de Autorización de Uso de Productos Obtenidos por Biotecnología de Precisión para Uso Agrícola;https://apps.maga.gob.gt/simplificacion/Formularios?tipoId=1
