codigo,institucion,nombre,motivo,enlace
CAT-3749,MARN,Actividades Correctivas para Registro,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/ventanilla-ambiental-2/
CAT-3682,MARN,Actividades para Registro,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/ventanilla-ambiental-2/
CAT-3710,MARN,Actualización de Instrumentos Ambientales,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/ventanilla-ambiental-2/
CAT-3722,MARN,"Adición de Representante Legal para Actuar Conjunta, Separada o Indistintamente.",sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/ventanilla-ambiental-2/
CAT-3745,MARN,Atención a Usuarios y Préstamo de Material para Consulta,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/quienes-somos-direccion-de-formacion-y-participacion-social/
CAT-3727,MARN,Cambio de Denominación Social de la Entidad Proponente,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/ventanilla-ambiental-2/
CAT-3733,MARN,Cambio de Dirección del Proyecto por Actualización en el Catastro Municipal,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/ventanilla-ambiental-2/
CAT-3714,MARN,Cambio de Nombre del Proyecto,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/ventanilla-ambiental-2/
CAT-3718,MARN,Cambio de Proponente,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/ventanilla-ambiental-2/
CAT-3720,MARN,Cambio de Representante Legal del Proponente,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/ventanilla-ambiental-2/
CAT-3703,MARN,Categorización,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/ventanilla-ambiental-2/
CAT-3741,MARN,Convenio de pago,sin pagina oficial (solo enlace bit.ly/generico),https://www.tramites.gob.gt/
CAT-3688,MARN,Diagnóstico Ambiental de Bajo Impacto Categoría C,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/ventanilla-ambiental-2/
